[19:05:07][Info]: Remember! Quit the server by using 'Control + C' so a backup is properly made before closing!
[19:05:07][LMP]: Luna Server version: 0.29.0 (C:\Servertest\LMPServer 1\LMPServer\)
[19:05:07][Debug]: Loading universe... 0,639KB
[19:05:07][Debug]: Loading groups...
[19:05:07][Debug]: Loading settings...
[19:05:07][Debug]: Loading mod control...
[19:05:08][Debug]: Loading plugins...
[19:05:08][LMP]: Starting 'ZZZwefly' on Address 0.0.0.0 Port 8800... 
[19:07:50][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:07:52][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:07:54][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:07:56][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:07:58][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:00][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:02][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:04][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:06][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:08][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:10][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:12][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:14][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:17][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:18][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:20][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:22][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:24][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:26][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:28][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:30][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:32][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:34][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:36][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:38][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:40][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:42][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:44][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:46][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:48][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:50][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:52][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:54][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:56][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:08:58][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:00][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:02][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:04][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:06][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:08][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:10][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:12][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:14][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:16][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:19][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:21][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:23][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:28][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:31][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:33][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:37][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:39][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:41][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:43][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:45][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:47][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
[19:09:49][Warning]: Received unhandled library message Ping from 84.255.185.16:23743
